what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731272536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731272567
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451731272872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731274151
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1451731274915
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1451731275149
opened,view,com.android.ide.eclipse.ddms,16.0.0.v201112072138-234950,"com.android.ide.eclipse.ddms.views.LogCatView",1451731275430
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1451731275805
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1451731276319
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.ExpressionView",1451731276397
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451731292019
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451731292113
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451731302255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451731333265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731341865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731381567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731386921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731399335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731426994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731587956
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451731602489
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.TerminateAndRelaunch",1451731606306
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451731607065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731607807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731628218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731633339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731637465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731643519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731648908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731650114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731662178
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451731664698
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451731669048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731673947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731681555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731686027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731687634
activated,view,com.android.ide.eclipse.ddms,16.0.0.v201112072138-234950,"com.android.ide.eclipse.ddms.views.LogCatView",1451731689972
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451731689999
closed,view,com.android.ide.eclipse.ddms,16.0.0.v201112072138-234950,"com.android.ide.eclipse.ddms.views.LogCatView",1451731690033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731691373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731695036
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1451731703153
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451731704144
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1451731704246
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451731716760
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1451731750832
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731752683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731754771
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451731761967
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepInto",1451731762101
opened,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451731762519
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451731764377
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451731765795
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451731767485
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451731768358
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451731771789
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1451731777345
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451731792696
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1451731792786
activated,perspective,org.python.pydev,4.4.0.201510052309,"org.python.pydev.ui.PythonPerspective",1451731794351
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451731794364
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451731796644
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451731796690
closed,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451731796690
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451731810840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451731818133
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451731818830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731834566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451731837987
